Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
AUDI,SEDAN_Y,STATION WAGON - SMALL,4.3,8,AM7,Z,10.6,7.7,9.3,25,215
FORD,SEDAN_Y,TWO-SEATER,4.0,8,AS5,D,10.4,7.6,9.1,25,223
HYUNDAI,SEDAN_Y,STATION WAGON - SMALL,2.6,6,M6,Z,8.0,5.8,7.0,33,160
BMW,SEDAN_Y,COMPACT,1.7,4,A8,X,8.0,5.8,7.0,33,161
ACURA,HATCH_Z,COMPACT,5.1,8,A9,Z,12.6,9.1,11.0,21,269
KIA,SUV_X,MID-SIZE,2.4,4,M6,Z,9.0,6.5,7.9,29,188
AUDI,MODEL_B,TWO-SEATER,5.5,8,AM7,E,14.1,10.2,12.3,19,296
AUDI,SEDAN_Y,COMPACT,5.7,8,AV,E,14.4,10.5,12.6,18,308
NISSAN,SUV_X,STATION WAGON - SMALL,4.3,8,A8,E,12.1,8.8,10.6,22,250
BMW,SEDAN_Y,TWO-SEATER,4.5,8,AS5,Z,12.3,8.9,10.8,21,255
AUDI,SEDAN_Y,MINICOMPACT,2.1,4,AV,D,7.9,5.8,7.0,33,161
CHEVROLET,MODEL_C,TWO-SEATER,2.6,6,A8,X,7.3,5.3,6.4,36,152
ACURA,MODEL_B,COMPACT,1.8,4,AM7,Z,8.0,5.8,7.0,33,162
MAZDA,HATCH_Z,SUV - SMALL,3.6,6,M6,E,10.6,7.7,9.3,25,220
BMW,MODEL_C,SUBCOMPACT,5.1,8,AS5,X,13.2,9.6,11.6,20,276
TOYOTA,MODEL_A,TWO-SEATER,4.7,8,M6,Z,12.2,8.8,10.7,21,257
BMW,SUV_X,SUV - SMALL,5.6,8,AM7,D,13.7,10.0,12.0,19,283
HYUNDAI,MODEL_A,TWO-SEATER,1.9,4,AV,E,7.0,5.1,6.1,38,152
NISSAN,SEDAN_Y,SUBCOMPACT,1.3,4,A9,X,6.6,4.8,5.8,40,128
CHEVROLET,MODEL_A,SUBCOMPACT,5.4,8,A9,X,13.7,10.0,12.0,19,279
CHEVROLET,HATCH_Z,MID-SIZE,2.9,6,M6,Z,8.9,6.4,7.8,30,185
AUDI,MODEL_A,COMPACT,1.3,4,M6,X,6.8,5.0,6.0,39,142
VOLKSWAGEN,MODEL_A,SUV - SMALL,1.5,4,A8,D,7.3,5.3,6.4,36,149
BMW,MODEL_C,SUV - SMALL,5.5,8,AV,X,13.1,9.5,11.5,20,280
MERCEDES-BENZ,MODEL_A,COMPACT,1.2,4,AM7,E,6.4,4.7,5.6,42,138
HONDA,SUV_X,MINICOMPACT,4.6,8,AV,D,11.8,8.6,10.4,22,244
HYUNDAI,MODEL_B,SUV - SMALL,4.2,8,M6,E,11.9,8.7,10.5,22,257
FORD,SEDAN_Y,SUV - SMALL,3.4,6,A9,D,9.6,7.0,8.4,28,203
NISSAN,SUV_X,MINICOMPACT,2.3,4,M6,E,6.9,5.0,6.0,39,136
AUDI,MODEL_C,SUBCOMPACT,2.6,6,AM7,E,9.7,7.1,8.5,27,209
KIA,MODEL_B,TWO-SEATER,2.2,4,AV,X,7.4,5.4,6.5,36,148
KIA,MODEL_A,COMPACT,2.6,6,AM7,E,8.7,6.3,7.6,30,184
MAZDA,SUV_X,SUBCOMPACT,2.6,6,AV,X,8.1,5.9,7.1,33,172
HONDA,SUV_X,MID-SIZE,4.6,8,A9,X,11.9,8.6,10.4,22,245
VOLVO,HATCH_Z,SUV - SMALL,3.2,6,AV,D,9.8,7.2,8.6,27,203
AUDI,HATCH_Z,MINICOMPACT,3.0,6,A8,X,9.6,7.0,8.4,28,204
CHEVROLET,SEDAN_Y,MINICOMPACT,3.9,6,AV,D,10.2,7.4,8.9,26,212
HONDA,SEDAN_Y,COMPACT,5.4,8,A9,E,12.1,8.8,10.6,22,254
MAZDA,MODEL_A,COMPACT,4.0,8,AV,X,10.6,7.7,9.3,25,221
HYUNDAI,MODEL_B,MID-SIZE,3.5,6,M6,X,10.1,7.3,8.8,26,208
VOLKSWAGEN,MODEL_C,MINICOMPACT,2.2,4,AM7,E,7.6,5.6,6.7,35,156
HYUNDAI,HATCH_Z,SUV - SMALL,3.4,6,AS5,Z,10.2,7.4,8.9,26,213
FORD,HATCH_Z,SUV - SMALL,1.5,4,A9,X,6.4,4.6,5.6,42,128
MAZDA,MODEL_A,COMPACT,5.1,8,M6,D,11.8,8.6,10.4,22,245
JEEP,HATCH_Z,MID-SIZE,5.5,8,AM7,E,14.0,10.2,12.3,19,295
ACURA,MODEL_C,STATION WAGON - SMALL,5.7,8,AV,E,13.5,9.8,11.8,19,283
VOLKSWAGEN,MODEL_B,MINICOMPACT,1.9,4,AS5,D,7.5,5.4,6.6,35,152
HYUNDAI,HATCH_Z,TWO-SEATER,1.8,4,A9,X,6.7,4.9,5.9,39,143
FORD,MODEL_C,TWO-SEATER,1.2,4,A9,Z,6.0,4.4,5.3,44,121
NISSAN,MODEL_A,MINICOMPACT,5.0,8,M6,D,12.6,9.2,11.1,21,261
HYUNDAI,HATCH_Z,TWO-SEATER,1.5,4,A8,E,7.0,5.1,6.1,38,151
FORD,MODEL_A,MID-SIZE,4.5,8,A9,E,12.5,9.1,11.0,21,267
AUDI,MODEL_A,STATION WAGON - SMALL,3.0,6,AM7,Z,10.2,7.4,8.9,26,216
HONDA,HATCH_Z,COMPACT,1.4,4,A8,E,6.4,4.7,5.6,42,125
CHEVROLET,SUV_X,SUBCOMPACT,3.6,6,AS5,D,9.3,6.8,8.2,28,196
CHEVROLET,MODEL_B,TWO-SEATER,1.9,4,AV,Z,7.9,5.7,6.9,34,163
TOYOTA,MODEL_B,SUBCOMPACT,2.7,6,M6,Z,8.5,6.2,7.5,31,173
HONDA,MODEL_A,STATION WAGON - SMALL,3.3,6,AS5,X,9.7,7.1,8.5,27,197
NISSAN,HATCH_Z,MINICOMPACT,4.6,8,A8,E,12.6,9.2,11.1,21,268
ACURA,MODEL_C,MID-SIZE,4.5,8,M6,E,12.5,9.1,11.0,21,263
SUBARU,MODEL_A,TWO-SEATER,2.0,4,A9,E,7.2,5.2,6.3,37,150
VOLVO,HATCH_Z,COMPACT,2.4,4,A8,E,8.2,6.0,7.2,32,172
VOLVO,SUV_X,COMPACT,5.7,8,AS5,E,13.7,10.0,12.0,19,281
MAZDA,MODEL_C,MID-SIZE,1.1,4,A9,D,6.1,4.4,5.3,44,132
VOLKSWAGEN,MODEL_B,SUV - SMALL,4.3,8,M6,Z,11.7,8.5,10.3,22,242
MAZDA,MODEL_A,MINICOMPACT,1.0,4,A9,D,7.0,5.1,6.1,38,149
HONDA,SEDAN_Y,MID-SIZE,1.3,4,A8,E,7.0,5.1,6.1,38,149
FORD,HATCH_Z,TWO-SEATER,2.6,6,M6,D,8.2,6.0,7.2,32,178
NISSAN,MODEL_A,COMPACT,5.4,8,AM7,D,14.3,10.4,12.5,18,299
ACURA,MODEL_C,STATION WAGON - SMALL,3.1,6,A9,D,9.1,6.6,8.0,29,184
VOLVO,MODEL_B,COMPACT,4.2,8,A8,X,11.0,8.0,9.7,24,227
HONDA,HATCH_Z,TWO-SEATER,5.7,8,A8,X,14.0,10.2,12.3,19,290
CHEVROLET,HATCH_Z,SUBCOMPACT,5.6,8,AV,Z,14.0,10.2,12.3,19,294
BMW,MODEL_C,MINICOMPACT,2.2,4,A9,E,8.7,6.3,7.6,30,183
MAZDA,MODEL_B,MID-SIZE,4.7,8,AV,E,12.6,9.1,11.0,21,258
SUBARU,MODEL_C,COMPACT,3.7,6,A8,X,10.4,7.5,9.1,25,218
CHEVROLET,MODEL_B,SUBCOMPACT,2.6,6,A8,X,8.6,6.3,7.6,30,180
NISSAN,MODEL_C,SUBCOMPACT,4.7,8,A9,X,13.5,9.8,11.8,19,279
VOLKSWAGEN,HATCH_Z,SUBCOMPACT,5.0,8,A9,E,12.9,9.4,11.3,20,270
VOLVO,MODEL_B,MINICOMPACT,4.4,8,AM7,E,10.8,7.8,9.5,24,228
SUBARU,SUV_X,SUBCOMPACT,4.4,8,A9,Z,11.0,8.0,9.7,24,229
CHEVROLET,SUV_X,STATION WAGON - SMALL,1.4,4,AV,D,6.8,5.0,6.0,39,147
CHEVROLET,MODEL_A,STATION WAGON - SMALL,4.9,8,AM7,E,12.3,8.9,10.8,21,255
BMW,SUV_X,MID-SIZE,2.4,4,AS5,E,8.9,6.5,7.8,30,186
MERCEDES-BENZ,SEDAN_Y,SUV - SMALL,4.7,8,AM7,X,12.4,9.0,10.9,21,252
ACURA,HATCH_Z,STATION WAGON - SMALL,5.8,8,AS5,Z,13.4,9.7,11.7,20,280
MERCEDES-BENZ,MODEL_C,STATION WAGON - SMALL,4.0,8,A8,Z,10.7,7.8,9.4,25,223
KIA,MODEL_A,TWO-SEATER,2.9,6,AS5,X,9.2,6.7,8.1,29,194
HYUNDAI,HATCH_Z,COMPACT,3.0,6,M6,X,9.7,7.1,8.5,27,197
VOLVO,HATCH_Z,MINICOMPACT,3.4,6,M6,X,11.1,8.1,9.8,24,227
VOLVO,HATCH_Z,COMPACT,3.5,6,A8,X,10.4,7.6,9.1,25,213
JEEP,HATCH_Z,MINICOMPACT,2.1,4,A8,E,7.8,5.6,6.8,34,156
ACURA,MODEL_A,COMPACT,5.0,8,AS5,E,13.0,9.4,11.4,20,271
KIA,MODEL_B,COMPACT,4.6,8,AV,E,12.2,8.9,10.7,21,258
FORD,MODEL_B,MINICOMPACT,3.9,6,M6,Z,9.8,7.2,8.6,27,206
MERCEDES-BENZ,HATCH_Z,STATION WAGON - SMALL,1.9,4,AV,D,7.2,5.2,6.3,37,155
AUDI,SEDAN_Y,SUV - SMALL,5.4,8,A8,D,13.0,9.5,11.4,20,265
AUDI,HATCH_Z,SUV - SMALL,1.1,4,M6,X,7.4,5.4,6.5,36,145
HONDA,MODEL_C,SUBCOMPACT,5.2,8,A8,Z,12.6,9.1,11.0,21,254
CHEVROLET,MODEL_A,TWO-SEATER,3.2,6,AS5,E,9.2,6.7,8.1,29,199
VOLVO,SEDAN_Y,MINICOMPACT,4.0,8,A9,X,11.0,8.0,9.7,24,229
HONDA,SEDAN_Y,SUV - SMALL,3.6,6,M6,D,9.9,7.2,8.7,27,204
VOLKSWAGEN,MODEL_B,TWO-SEATER,1.0,4,A8,D,5.6,4.1,4.9,48,120
JEEP,MODEL_C,COMPACT,3.8,6,A8,D,11.2,8.2,9.8,24,232
VOLVO,HATCH_Z,MINICOMPACT,1.5,4,AV,E,8.3,6.0,7.3,32,173
SUBARU,SUV_X,COMPACT,1.1,4,AV,D,6.7,4.9,5.9,39,145
JEEP,SEDAN_Y,MINICOMPACT,2.7,6,A9,E,8.9,6.5,7.8,30,181
VOLKSWAGEN,MODEL_C,SUV - SMALL,3.1,6,A9,D,10.3,7.5,9.0,26,212
HYUNDAI,SEDAN_Y,SUV - SMALL,2.4,4,AV,X,8.5,6.1,7.4,31,180
MAZDA,HATCH_Z,STATION WAGON - SMALL,3.2,6,AV,E,9.0,6.6,7.9,29,191
NISSAN,MODEL_B,MINICOMPACT,3.2,6,A9,Z,9.9,7.2,8.7,27,215
AUDI,SEDAN_Y,COMPACT,2.2,4,AS5,E,7.9,5.7,6.9,34,171
SUBARU,MODEL_B,SUBCOMPACT,3.4,6,A9,E,11.4,8.3,10.0,23,240
VOLVO,SUV_X,MID-SIZE,1.4,4,AV,E,6.4,4.7,5.6,42,132
CHEVROLET,SUV_X,COMPACT,1.4,4,AV,D,6.2,4.5,5.4,43,131
CHEVROLET,SUV_X,MID-SIZE,5.4,8,AM7,E,13.4,9.8,11.8,19,278
MERCEDES-BENZ,MODEL_B,COMPACT,1.2,4,AM7,E,6.5,4.7,5.7,41,137
JEEP,SEDAN_Y,TWO-SEATER,3.8,6,M6,E,10.0,7.3,8.8,26,213
HYUNDAI,MODEL_A,COMPACT,2.9,6,AM7,X,7.7,5.6,6.8,34,159
MAZDA,SUV_X,MID-SIZE,2.1,4,AM7,D,7.2,5.3,6.3,37,154
CHEVROLET,MODEL_B,COMPACT,5.9,8,A9,Z,13.9,10.1,12.2,19,295
SUBARU,MODEL_C,STATION WAGON - SMALL,5.6,8,AV,E,14.0,10.2,12.3,19,292
CHEVROLET,SUV_X,TWO-SEATER,1.4,4,A9,X,7.6,5.5,6.7,35,162
TOYOTA,SEDAN_Y,STATION WAGON - SMALL,4.2,8,M6,D,10.5,7.6,9.2,25,220
KIA,SUV_X,MINICOMPACT,3.7,6,AV,D,9.5,6.9,8.3,28,209
CHEVROLET,HATCH_Z,MID-SIZE,1.6,4,AM7,D,7.0,5.1,6.1,38,155
VOLVO,SUV_X,TWO-SEATER,4.8,8,AV,X,12.1,8.8,10.6,22,239
HONDA,MODEL_C,TWO-SEATER,2.6,6,A9,Z,9.7,7.0,8.5,27,205
SUBARU,SUV_X,SUV - SMALL,4.1,8,M6,Z,10.7,7.8,9.4,25,222
KIA,SEDAN_Y,STATION WAGON - SMALL,4.1,8,AS5,Z,11.2,8.2,9.8,24,236
MAZDA,MODEL_A,SUV - SMALL,4.5,8,AM7,X,11.7,8.5,10.3,22,240
ACURA,MODEL_C,SUV - SMALL,4.7,8,A8,Z,11.1,8.1,9.8,24,237
ACURA,HATCH_Z,COMPACT,5.5,8,AS5,D,12.9,9.3,11.3,20,270
VOLKSWAGEN,MODEL_C,COMPACT,3.6,6,M6,D,9.1,6.6,8.0,29,177
JEEP,MODEL_B,SUBCOMPACT,5.7,8,A8,X,13.5,9.8,11.8,19,272
TOYOTA,MODEL_A,MID-SIZE,1.9,4,AM7,Z,7.7,5.6,6.8,34,163
FORD,HATCH_Z,SUBCOMPACT,1.1,4,AV,E,6.0,4.4,5.3,44,124
JEEP,MODEL_C,STATION WAGON - SMALL,2.7,6,AV,E,9.1,6.6,8.0,29,185
NISSAN,MODEL_A,STATION WAGON - SMALL,4.0,8,M6,Z,12.0,8.7,10.5,22,253
NISSAN,MODEL_A,TWO-SEATER,4.5,8,A8,D,12.5,9.1,11.0,21,264
BMW,SUV_X,STATION WAGON - SMALL,4.5,8,AS5,E,11.4,8.3,10.0,23,241
VOLVO,SUV_X,COMPACT,1.3,4,A9,E,6.3,4.6,5.5,42,133
MERCEDES-BENZ,SEDAN_Y,SUBCOMPACT,3.2,6,M6,E,9.2,6.7,8.1,29,197
CHEVROLET,HATCH_Z,TWO-SEATER,5.8,8,A9,D,14.0,10.2,12.3,19,302
SUBARU,SUV_X,STATION WAGON - SMALL,3.3,6,AM7,D,10.4,7.5,9.1,25,216
HYUNDAI,HATCH_Z,MID-SIZE,2.1,4,A8,D,8.1,5.9,7.1,33,170
JEEP,MODEL_C,SUV - SMALL,5.2,8,AS5,E,12.8,9.3,11.2,21,265
FORD,MODEL_C,COMPACT,1.9,4,AM7,D,7.5,5.4,6.6,35,154
VOLVO,MODEL_B,MINICOMPACT,1.8,4,AM7,Z,7.8,5.6,6.8,34,160
TOYOTA,SEDAN_Y,COMPACT,5.1,8,M6,Z,12.9,9.4,11.3,20,277
CHEVROLET,SEDAN_Y,MID-SIZE,3.8,6,AS5,E,11.5,8.3,10.1,23,242
MAZDA,MODEL_A,STATION WAGON - SMALL,1.3,4,A9,D,6.4,4.6,5.6,42,140
BMW,SEDAN_Y,COMPACT,1.4,4,AS5,Z,5.9,4.3,5.2,45,126
SUBARU,MODEL_A,SUV - SMALL,1.2,4,AM7,Z,6.7,4.9,5.9,39,132
FORD,SUV_X,MINICOMPACT,3.0,6,M6,X,9.8,7.1,8.6,27,210
BMW,SUV_X,STATION WAGON - SMALL,4.2,8,AS5,Z,11.4,8.3,10.0,23,244
BMW,MODEL_C,SUV - SMALL,1.7,4,M6,X,7.7,5.6,6.8,34,168
CHEVROLET,SUV_X,MID-SIZE,4.0,8,AS5,D,10.7,7.8,9.4,25,221
MERCEDES-BENZ,MODEL_B,TWO-SEATER,1.3,4,M6,E,5.7,4.2,5.0,47,113
VOLKSWAGEN,HATCH_Z,MINICOMPACT,2.8,6,AV,E,8.4,6.1,7.4,31,177
MAZDA,HATCH_Z,COMPACT,5.0,8,M6,Z,13.1,9.5,11.5,20,276
ACURA,HATCH_Z,MINICOMPACT,1.6,4,M6,Z,6.7,4.8,5.8,40,127
KIA,SEDAN_Y,SUBCOMPACT,5.7,8,A9,X,13.6,9.9,11.9,19,282
MERCEDES-BENZ,MODEL_A,COMPACT,6.0,8,AS5,D,14.7,10.7,12.9,18,312
NISSAN,SEDAN_Y,TWO-SEATER,5.7,8,A8,Z,13.9,10.1,12.2,19,289
JEEP,MODEL_B,SUV - SMALL,1.5,4,A8,X,7.8,5.7,6.9,34,153
CHEVROLET,SUV_X,TWO-SEATER,3.3,6,AS5,Z,9.1,6.6,8.0,29,192
NISSAN,MODEL_C,COMPACT,5.9,8,AM7,X,14.5,10.5,12.7,18,289
AUDI,MODEL_A,MINICOMPACT,5.4,8,M6,E,13.1,9.5,11.5,20,275
BMW,MODEL_C,MINICOMPACT,2.2,4,M6,Z,8.7,6.4,7.7,30,179
MAZDA,MODEL_C,SUV - SMALL,5.0,8,AV,Z,12.5,9.1,11.0,21,267
MAZDA,MODEL_B,TWO-SEATER,3.9,6,A8,X,10.3,7.5,9.0,26,210
JEEP,MODEL_C,MINICOMPACT,5.3,8,AS5,X,13.8,10.0,12.1,19,295
AUDI,HATCH_Z,MID-SIZE,3.7,6,AV,D,10.1,7.4,8.9,26,209
VOLKSWAGEN,HATCH_Z,STATION WAGON - SMALL,5.8,8,A8,E,13.8,10.1,12.1,19,291
KIA,MODEL_A,SUBCOMPACT,2.4,4,A8,Z,8.3,6.0,7.3,32,178
KIA,SEDAN_Y,COMPACT,1.8,4,AV,E,7.1,5.2,6.2,37,153
JEEP,SEDAN_Y,MINICOMPACT,2.5,6,A8,E,8.1,5.9,7.1,33,174
VOLVO,MODEL_C,SUV - SMALL,2.2,4,AV,D,7.8,5.7,6.9,34,162
HONDA,MODEL_A,SUBCOMPACT,3.6,6,M6,D,10.5,7.7,9.2,25,214
BMW,HATCH_Z,MINICOMPACT,2.2,4,M6,X,8.3,6.0,7.3,32,175
AUDI,HATCH_Z,MINICOMPACT,5.8,8,AS5,Z,14.6,10.6,12.8,18,303
SUBARU,SEDAN_Y,SUV - SMALL,4.7,8,A9,E,11.9,8.7,10.5,22,245
TOYOTA,HATCH_Z,TWO-SEATER,1.7,4,M6,E,7.2,5.2,6.3,37,150
CHEVROLET,MODEL_B,SUV - SMALL,5.0,8,AS5,Z,12.5,9.1,11.0,21,267
NISSAN,MODEL_C,SUBCOMPACT,3.1,6,AS5,Z,10.3,7.5,9.0,26,211
AUDI,SUV_X,SUV - SMALL,4.3,8,M6,Z,11.3,8.2,9.9,23,234
TOYOTA,MODEL_C,SUV - SMALL,5.4,8,A8,Z,13.3,9.7,11.7,20,280
HYUNDAI,MODEL_A,SUBCOMPACT,4.1,8,AS5,X,11.1,8.1,9.8,24,239
VOLVO,MODEL_C,STATION WAGON - SMALL,4.7,8,AS5,Z,11.7,8.5,10.3,22,247
MERCEDES-BENZ,MODEL_B,TWO-SEATER,5.7,8,AV,X,13.9,10.1,12.2,19,295
HYUNDAI,SUV_X,SUV - SMALL,5.6,8,A9,E,13.4,9.8,11.8,19,288
MAZDA,SUV_X,SUBCOMPACT,4.8,8,A9,E,12.8,9.3,11.2,21,266
BMW,MODEL_A,SUV - SMALL,1.0,4,AS5,X,6.1,4.4,5.3,44,126
VOLKSWAGEN,MODEL_C,TWO-SEATER,2.9,6,AM7,X,9.0,6.6,7.9,29,187
TOYOTA,SUV_X,COMPACT,1.0,4,AM7,D,5.8,4.2,5.1,46,124
CHEVROLET,SEDAN_Y,MINICOMPACT,4.0,8,A8,Z,11.9,8.7,10.5,22,252
SUBARU,MODEL_A,MID-SIZE,4.4,8,A9,Z,12.4,9.0,10.9,21,259
HYUNDAI,MODEL_A,MID-SIZE,3.0,6,M6,E,10.1,7.4,8.9,26,215
HONDA,SUV_X,COMPACT,3.9,6,A9,D,10.7,7.8,9.4,25,223
